Crocosphaera watsonii WH0002,22.75 N 158 W,27.5 m,NA,marine habitat,344748,15661
Calothrix sp. SC01,22.75 N 158 W,27.5 m,NA,marine habitat,439482,19291
Hoeflea phototrophica DFL-43,54.13 N 7.87 E,10.0 m,NA,marine habitat,411684,19311
Oceanibulbus indolifex HEL-45,54.13 N 7.87 E,10.0 m,NA,marine habitat,391624,19327
Synechococcus sp. WH7805,33.75 N 67.5 W,NA,NA,marine habitat,59931,13553
Octadecabacter arcticus 238,73.02 N 148.52 W,NA,NA,marine habitat,391616,19331
Aeropyrum pernix K1,29.22 N 129.33 E,NA,NA,hydrothermal vent,272557,211
Methanogenium frigidum Ace-2 (=SMCC459W),68.4 S 78.18 E,24.0 m,NA,marine habitat,313587,13497
Carnobacterium sp. AT7,52.89 N 163 W,2500.0 m,NA,marine habitat,333990,19299
Vibrio campbellii AND4,7.8 N 98.21 E,NA,NA,marine habitat,314289,13564
Prochlorococcus marinus AS9601,19 S 67 E,50.0 m,NA,marine habitat,146891,13548
Idiomarina baltica OS145,59.32 N 20.05 W,30.0 m,NA,marine habitat,314276,13408
Pedobacter sp. BAL39,63.52 N 19.82 E,4.0 m,NA,marine habitat,391596,19337
Brevundimonas sp. BAL3,63.52 N 19.82 E,4.0 m,NA,marine habitat,391600,19287
Vibrio shilonii AK1,32.49 N 34.89 E,3.0 m,NA,marine habitat,391591,19397
Nodularia spumigena CCY9414,55.53 N 16.62 E,NA,NA,marine habitat,313624,13447
Vibrio angustum S14,34.02 S 151.32 E,NA,NA,marine habitat,314292,13567
Roseovarius nubinhibens ISM,22.06 N 74.06 W,NA,NA,marine habitat,89187,13464
Psychromonas sp. CNPT3,30 N 165 W,NA,NA,marine habitat,314282,13583
Plesiocystis pacifica SIR-1,20 N 116 E,NA,NA,marine habitat,391625,19341
Dehalobium chlorocoercia DF-1,32.79 N 79.97 W,3.0 m,NA,marine habitat,391609,19303
Planctomyces maris DSM 8797,48.4 N 122.6 W,NA,NA,marine habitat,344747,15662
Roseovarius sp. 217,50.25 N 4.22 W,NA,NA,marine habitat,314264,13576
Desulfotalea psychrophila LSv54,79 N 11 E,NA,NA,sediment,177439,12751
Limnobacter sp. MED105,32.81 N 34.69 E,NA,NA,marine habitat,391597,19317
Marinobacter sp. ELB17,77 S 168 W,17.0 m,NA,marine habitat,270374,18955
Thermococcus sp. AM4,12.13 N 103.93 W,2615.0 m,NA,marine habitat,246969,19381
Roseobacter sp. AzwK-3b,36.84 N 121.75 W,NA,NA,marine habitat,351016,19361
Prochlorococcus marinus MIT9515,5.12 S 107.02 W,NA,NA,marine habitat,167542,13617
Nitrococcus mobilis Nb-231,0.3 S 91.65 W,NA,NA,marine habitat,314278,13475
Prochlorococcus marinus MIT9211,0 S 140 W,83.0 m,NA,marine habitat,93059,13551
Synechococcus sp. MITS9220,0 S 140 W,83.0 m,NA,marine habitat,166309,19375
Geobacillus kaustophilus HTA426,11.352 N 142.432 E,10897.0 m,NA,marine habitat,235909,13233
