MOVE858,North American East Coast,38.133333 N 76.383333 W,2.1 m,NA,marine habitat
GS040,Tropical South Pacific,4.498889 S 105.07 W,2.2 m,NA,marine habitat
GS036,Galapagos Islands,0.020833 S 91.197778 W,2.1 m,NA,marine habitat
GS037,Eastern Tropical Pacific,1.973889 S 95.014722 W,1.8 m,NA,marine habitat
GS038,Tropical South Pacific,2.581944 S 97.851389 W,1.8 m,NA,marine habitat
GS014,North American East Coast,32.506944 N 79.263889 W,1.0 m,NA,marine habitat
GS039,Tropical South Pacific,3.343333 S 101.373889 W,2.0 m,NA,marine habitat
GS041,Tropical South Pacific,5.93 S 108.686944 W,2.0 m,NA,marine habitat
GS032,Galapagos Islands,0.593889 S 91.069444 W,0.1 m,NA,aquatic habitat
GS035,Galapagos Islands,1.389167 N 91.816944 W,1.7 m,NA,marine habitat
GS048a,Polynesia Archipelagos,17.475833 S 149.812222 W,1.4 m,NA,marine habitat
GS048b,Polynesia Archipelagos,17.475833 S 149.812222 W,1.4 m,NA,marine habitat
GS049,Polynesia Archipelagos,17.453056 S 149.798889 W,1.4 m,NA,marine habitat
GS050,Polynesia Archipelagos,15.277778 S 148.224444 W,1.2 m,NA,marine habitat
GS000c,Sargasso Sea,32.174833 N 64.010167 W,5.0 m,NA,marine habitat
GS000d,Sargasso Sea,31.535 N 63.595 W,5.0 m,NA,marine habitat
GS001a,Sargasso Sea,32.166667 N 64.5 W,5.0 m,NA,marine habitat
GS001b,Sargasso Sea,32.166667 N 64.5 W,5.0 m,NA,marine habitat
GS001c,Sargasso Sea,32.166667 N 64.5 W,5.0 m,NA,marine habitat
GS002,North American East Coast,42.503056 N 67.24 W,1.0 m,NA,marine habitat
GS003,North American East Coast,42.852778 N 66.217222 W,1.0 m,NA,marine habitat
GS004,North American East Coast,44.137222 N 63.644444 W,2.0 m,NA,marine habitat
GS005,North American East Coast,44.690278 N 63.637222 W,1.0 m,NA,marine habitat
GS006,North American East Coast,45.111667 N 64.946667 W,1.0 m,NA,marine habitat
GS007,North American East Coast,43.632222 N 66.847222 W,1.0 m,NA,marine habitat
GS008,North American East Coast,41.485833 N 71.351111 W,1.0 m,NA,marine habitat
GS009,North American East Coast,41.091111 N 71.602222 W,1.0 m,NA,marine habitat
GS010,North American East Coast,38.94 N 74.685 W,1.0 m,NA,marine habitat
GS011,North American East Coast,39.417778 N 75.504167 W,1.0 m,NA,marine habitat
GS012,North American East Coast,38.946944 N 76.417222 W,13.2 m,NA,marine habitat
GS013,North American East Coast,36.003889 N 75.394722 W,2.1 m,NA,marine habitat
GS015,Caribbean Sea,24.488333 N 83.07 W,1.7 m,NA,marine habitat
GS016,Caribbean Sea,24.174722 N 84.344444 W,2.0 m,NA,marine habitat
GS017,Caribbean Sea,20.5225 N 85.413611 W,2.0 m,NA,marine habitat
GS018,Caribbean Sea,18.036667 N 83.784722 W,1.7 m,NA,marine habitat
GS019,Caribbean Sea,10.716389 N 80.254444 W,1.7 m,NA,marine habitat
GS020,Panama Canal,9.164444 N 79.836111 W,2.0 m,NA,freshwater habitat
GS021,Eastern Tropical Pacific,8.129167 N 79.691111 W,1.6 m,NA,marine habitat
GS022,Eastern Tropical Pacific,6.492778 N 82.903889 W,2.0 m,NA,marine habitat
GS023,Eastern Tropical Pacific,5.64 N 86.565278 W,2.0 m,NA,marine habitat
GS025,Eastern Tropical Pacific,5.552778 N 87.087778 W,1.1 m,NA,marine habitat
GS026,Galapagos Islands,1.264167 N 90.295 W,2.0 m,NA,marine habitat
GS027,Galapagos Islands,1.216111 S 90.422778 W,2.2 m,NA,marine habitat
GS028,Galapagos Islands,1.216944 S 90.319722 W,2.0 m,NA,marine habitat
GS029,Galapagos Islands,0.2 S 90.835278 W,2.1 m,NA,marine habitat
GS030,Galapagos Islands,0.272222 N 91.633333 W,19.0 m,NA,marine habitat
GS031,Galapagos Islands,0.301111 S 91.651667 W,12.0 m,NA,marine habitat
GS033,Galapagos Islands,1.228333 S 90.429167 W,0.2 m,NA,aquatic habitat
GS051,Polynesia Archipelagos,15.143611 S 147.435 W,1.0 m,NA,marine habitat
GS108a,Indian Ocean,12.0925 S 96.881667 E,1.8 m,NA,marine habitat
GS108b,Indian Ocean,12.0925 S 96.881667 E,1.8 m,NA,marine habitat
GS109,Indian Ocean,10.943611 S 92.058889 E,1.5 m,NA,marine habitat
GS110a,Indian Ocean,10.446111 S 88.302778 E,1.5 m,NA,marine habitat
GS110b,Indian Ocean,10.446111 S 88.302778 E,1.5 m,NA,marine habitat
GS111,Indian Ocean,9.596944 S 84.1975 E,1.8 m,NA,marine habitat
GS112a,Indian Ocean,8.505 S 80.375556 E,1.8 m,NA,marine habitat
GS112b,Indian Ocean,8.505 S 80.375556 E,1.8 m,NA,marine habitat
GS113,Indian Ocean,7.0075 S 76.331389 E,1.8 m,NA,marine habitat
GS114,Indian Ocean,4.990278 S 64.976667 E,1.5 m,NA,marine habitat
GS115,Indian Ocean,4.6625 S 60.523056 E,1.5 m,NA,marine habitat
GS116,Indian Ocean,4.635 S 56.836111 E,1.5 m,NA,marine habitat
GS117a,Indian Ocean,4.613611 S 55.508611 E,1.8 m,NA,marine habitat
GS117b,Indian Ocean,4.613611 S 55.508611 E,1.8 m,NA,marine habitat
GS119,Indian Ocean,23.216111 S 52.306111 E,2.0 m,NA,marine habitat
GS120,Indian Ocean,26.035 S 50.123056 E,2.8 m,NA,marine habitat
GS121,Indian Ocean,29.348889 S 43.215556 E,1.5 m,NA,marine habitat
GS122a,Indian Ocean,30.898333 S 40.420278 E,1.9 m,NA,marine habitat
GS122b,Indian Ocean,30.898333 S 40.420278 E,1.9 m,NA,marine habitat
GS123,Indian Ocean,32.399167 S 36.591944 E,2.2 m,NA,marine habitat
GS148,Indian Ocean,6.316667 S 39.009167 E,0.3 m,NA,marine habitat
GS149,Indian Ocean,6.116667 S 39.116667 E,1.5 m,NA,marine habitat
GS034,Galapagos Islands,0.383056 S 90.279722 W,2.1 m,NA,marine habitat
GS042,Tropical South Pacific,7.1075 S 116.119167 W,1.7 m,NA,marine habitat
GS043,Tropical South Pacific,7.661111 S 120.402222 W,1.9 m,NA,marine habitat
GS044,Tropical South Pacific,8.415 S 124.239722 W,2.0 m,NA,marine habitat
GS045,Tropical South Pacific,9.0175 S 127.767222 W,1.7 m,NA,marine habitat
GS046,Tropical South Pacific,9.571111 S 131.491667 W,1.9 m,NA,marine habitat
GS047,Tropical South Pacific,10.131389 S 135.449444 W,30.0 m,NA,marine habitat
GS000a-p1,Sargasso Sea,31.535 N 63.595 W,5.0 m,NA,marine habitat
GS000a-p2,Sargasso Sea,31.175 N 64.324333 W,5.0 m,NA,marine habitat
GS000b-p1,Sargasso Sea,31.175 N 64.324333 W,5.0 m,NA,marine habitat
GS000b-p2,Sargasso Sea,31.535 N 63.595 W,5.0 m,NA,marine habitat
